Unnamed: 0,Per 90 Minutes.5,Per 90 Minutes.6,Per 90 Minutes.7,Per 90 Minutes.8,Per 90 Minutes.9
581,0.19,0.11,0.3,0.19,0.3
582,0,0,0,0,0
583,0.53,0.12,0.65,0.53,0.65
584,0.02,0.03,0.05,0.02,0.05
585,0,0.01,0.01,0,0.01
586,0,0,0,0,0
587,0.03,0.17,0.19,0.03,0.19
588,0.05,0.02,0.07,0.01,0.03
589,0.09,0.04,0.13,0.09,0.13
590,0,0.52,0.52,0,0.52
591,0,0.02,0.02,0,0.02
592,0.08,0.3,0.38,0.05,0.35
593,0.02,0.03,0.04,0.02,0.04
594,0,0,0,0,0
595,0.16,0.07,0.23,0.16,0.23
596,0.05,0.08,0.13,0.05,0.13
597,0.08,0.06,0.14,0.08,0.14
598,0,0,0,0,0
599,0.34,0.21,0.55,0.24,0.45
600,0.02,0,0.02,0.02,0.02
601,0.61,0,0.61,0.61,0.61
602,0.09,0,0.09,0.09,0.09
603,0.46,0.14,0.6,0.46,0.6
604,0.04,0.03,0.08,0.04,0.08
605,0.06,0,0.06,0.06,0.06
606,0.02,0.02,0.04,0.02,0.04
607,0.17,0.01,0.18,0.17,0.18
608,0.06,0.02,0.08,0.06,0.08
609,0.09,0.03,0.12,0.09,0.12
610,0.46,0.09,0.55,0.39,0.48
611,0.02,0.07,0.09,0.02,0.09
612,0,0,0,0,0
613,0.04,0.08,0.12,0.04,0.12
614,0,0,0,0,0
615,0.12,0.05,0.18,0.12,0.18
616,0.06,0.1,0.16,0.06,0.16
617,0.12,0.14,0.26,0.12,0.26
618,0.05,0.02,0.06,0.05,0.06
619,0.04,0.11,0.14,0.04,0.14
620,0.02,0,0.02,0.02,0.02
621,0,0.05,0.05,0,0.05
622,0.07,0.02,0.09,0.07,0.09
623,0.03,0.05,0.07,0.03,0.07
624,0.03,0.01,0.04,0.03,0.04
625,0.01,0.02,0.03,0.01,0.03
626,0.07,0.27,0.34,0.07,0.34
627,0,0,0,0,0
628,0.1,0.12,0.21,0.1,0.21
629,0,0.02,0.02,0,0.02
630,0.38,0.12,0.5,0.38,0.5
631,0.01,0.04,0.05,0.01,0.05
632,0.01,0.04,0.06,0.01,0.06
633,0.01,0.06,0.07,0.01,0.07
634,0.34,0.16,0.49,0.34,0.49
635,0,0,0,0,0
636,0.06,0,0.07,0.06,0.07
637,0.08,0,0.08,0.08,0.08
638,0.44,0.46,0.9,0.34,0.79
639,0.03,0,0.03,0.03,0.03
640,0.18,0.28,0.47,0.12,0.4
641,0.11,0,0.11,0.11,0.11
642,0.01,0.09,0.1,0.01,0.1
643,0.1,0.04,0.13,0.1,0.13
644,0,0.08,0.08,0,0.08
645,0.05,0.05,0.1,0.05,0.1
646,0.11,0.07,0.18,0.11,0.18
647,0.19,0.09,0.28,0.19,0.28
648,0.05,0.1,0.15,0.05,0.15
649,0.02,0.05,0.08,0.02,0.08
650,0.17,0.3,0.47,0.17,0.47
651,0,0,0,0,0
652,0.06,0.04,0.1,0.06,0.1
653,0.03,0.01,0.04,0.03,0.04
654,0.06,0,0.06,0.06,0.06
655,0.02,0.16,0.18,0.02,0.18
656,0,0,0,0,0
657,0.03,0,0.03,0.03,0.03
658,0.39,0.21,0.61,0.37,0.58
659,0.01,0.03,0.04,0.01,0.04
660,0.92,0.02,0.95,0.92,0.95
661,0.51,0.09,0.59,0.51,0.59
662,0.29,0.25,0.54,0.29,0.54
663,0.07,0.01,0.07,0.07,0.07
664,0.12,0.13,0.26,0.12,0.26
665,0.28,0.19,0.47,0.28,0.47
666,0.08,0.09,0.17,0.08,0.17
667,0.02,0,0.02,0.02,0.02
668,0.12,0.03,0.14,0.12,0.14
669,0.31,0.1,0.4,0.31,0.4
670,0.1,0.22,0.33,0.1,0.33
671,0,0,0,0,0
672,0.02,0.03,0.05,0.02,0.05
673,0.18,0.07,0.25,0.18,0.25
674,0,0.07,0.07,0,0.07
675,0.55,0.42,0.97,0.36,0.78
676,0,0,0,0,0
677,0.02,0.01,0.03,0.02,0.03
678,0,0,0,0,0
679,0,0,0,0,0
680,0.12,0.12,0.24,0.12,0.24
681,0.38,0.04,0.42,0.38,0.42
682,0.19,0.16,0.35,0.19,0.35
683,0.18,0.16,0.34,0.18,0.34
684,0.05,0.18,0.24,0.05,0.24
685,0.28,0.02,0.3,0.28,0.3
686,0.08,0,0.08,0.08,0.08
687,0.11,0.13,0.24,0.11,0.24
688,0.25,0.52,0.76,0.25,0.76
689,0,0.12,0.12,0,0.12
690,0.19,0.01,0.2,0.19,0.2
691,0.41,0.05,0.46,0.29,0.34
692,1.69,0.53,2.22,1.69,2.22
693,0.21,0.26,0.47,0.21,0.47
694,0.38,0.13,0.51,0.38,0.51
695,0.05,0,0.05,0.05,0.05
696,0.02,0.03,0.04,0.02,0.04
697,0.02,0.26,0.29,0.02,0.29
698,0.2,0.54,0.73,0.2,0.73
699,0.28,0.12,0.4,0.25,0.37
700,0.24,0.21,0.45,0.24,0.45
701,0.05,0.05,0.1,0.05,0.1
702,0,0.08,0.08,0,0.08
703,0,0,0,0,0
704,0.09,0.01,0.1,0.09,0.1
705,0.05,0.14,0.19,0.05,0.19
706,0.23,0.31,0.54,0.23,0.54
707,0.27,0.23,0.5,0.27,0.5
708,0.07,0,0.08,0.07,0.08
709,0.12,0.02,0.14,0.12,0.14
710,0.15,0.08,0.24,0.15,0.24
711,0.24,0.12,0.36,0.24,0.36
712,0.03,0.03,0.06,0.03,0.06
713,0.29,0.28,0.58,0.29,0.58
714,0.03,0,0.03,0.03,0.03
715,0,0,0,0,0
716,0.02,0.18,0.2,0.02,0.2
717,0.08,0,0.08,0.08,0.08
718,0,0.01,0.02,0,0.02
719,0.13,0.06,0.2,0.13,0.2
720,0.08,0.23,0.31,0.08,0.31
721,0,0,0,0,0
722,0.37,0.08,0.45,0.37,0.45
723,0.08,0.02,0.1,0.08,0.1
724,0.22,0.07,0.29,0.18,0.25
725,0.02,0,0.02,0.02,0.02
726,0.07,0.04,0.12,0.07,0.12
727,0.19,0.1,0.3,0.19,0.3
728,0,0,0,0,0
729,0,0,0,0,0
730,0,0,0,0,0
731,0.1,0.02,0.12,0.1,0.12
732,0,0.02,0.02,0,0.02
733,0.01,0,0.01,0.01,0.01
734,0.07,0.04,0.11,0.07,0.11
735,0.03,0.01,0.04,0.03,0.04
736,0.06,0.02,0.08,0.06,0.08
737,0.07,0.07,0.15,0.07,0.15
738,0.05,0.01,0.06,0,0.02
739,0.17,0.11,0.28,0.16,0.27
740,0.08,0.05,0.13,0.08,0.13
741,0.03,0.06,0.09,0.03,0.09
742,0.14,0.14,0.29,0.14,0.29
743,0.35,0.05,0.41,0.28,0.34
744,0.02,0.04,0.07,0.02,0.07
745,0,0,0,0,0
746,0.03,0.02,0.05,0.03,0.05
747,0.1,0.16,0.27,0.1,0.27
748,0,0,0,0,0
749,0,0.05,0.05,0,0.05
750,0.02,0,0.02,0.02,0.02
751,0,0,0,0,0
752,0.05,0,0.05,0.05,0.05
753,0.47,0.25,0.73,0.39,0.64
754,0.03,0,0.03,0.03,0.03
755,0.08,0.08,0.16,0.08,0.16
756,0.04,0.06,0.1,0.04,0.1
757,0.05,0.13,0.17,0.05,0.17
758,0,0,0,0,0
759,0,0.08,0.08,0,0.08
760,0.04,0,0.05,0.04,0.05
761,0.06,0.12,0.19,0.06,0.19
762,0.02,0.11,0.13,0.02,0.13
763,0.02,0.03,0.06,0.02,0.06
764,0,0,0,0,0
765,0.05,0,0.05,0.05,0.05
766,0,0,0,0,0
767,0.01,0.02,0.03,0.01,0.03
768,0.18,0.23,0.42,0.18,0.42
769,0.2,0.12,0.32,0.2,0.32
770,0,0,0,0,0
771,0.05,0.04,0.09,0.05,0.09
772,0,0,0,0,0
773,0.05,0.01,0.06,0.05,0.06
774,0.05,0.08,0.13,0.05,0.13
775,0.03,0.18,0.21,0.03,0.21
776,0,0,0,0,0
777,0.21,0.14,0.35,0.1,0.24
778,0,0,0,0,0
779,0.13,0.15,0.28,0.13,0.28
780,0.02,0.04,0.06,0.02,0.06
781,0.01,0.02,0.03,0.01,0.03
782,0.02,0.09,0.11,0.02,0.11
783,0.08,0.03,0.1,0.08,0.1
784,0.14,0.04,0.17,0.14,0.17
785,0.1,0.13,0.23,0.1,0.23
786,0.22,0.09,0.31,0.22,0.31
787,0.03,0.02,0.05,0.03,0.05
788,0.36,0.23,0.59,0.36,0.59
789,0.64,0.12,0.76,0.6,0.72
790,0.16,0.08,0.24,0.16,0.24
791,0,0.94,0.94,0,0.94
792,0,0.21,0.21,0,0.21
793,0.04,0,0.04,0.04,0.04
794,0.29,0.3,0.59,0.29,0.59
795,0,0.01,0.01,0,0.01
796,0.11,0,0.11,0.11,0.11
797,0.02,0.01,0.03,0.02,0.03
798,0,0.09,0.09,0,0.09
799,0.03,0.1,0.13,0.03,0.13
800,0,0,0,0,0
801,0.04,0.06,0.1,0.04,0.1
802,0.03,0.03,0.06,0.03,0.06
803,0.18,0.04,0.21,0.18,0.21
804,0.16,0.02,0.18,0.16,0.18
805,0.2,0.17,0.37,0.2,0.37
806,0.22,0.08,0.3,0.22,0.3
807,0.05,0.07,0.12,0.05,0.12
808,0.03,0.01,0.04,0.03,0.04
809,0.01,0.01,0.02,0.01,0.02
810,0.07,0.01,0.08,0.07,0.08
811,0.04,0.02,0.06,0.04,0.06
812,0.33,0.12,0.46,0.33,0.46
813,0.44,0.06,0.5,0.44,0.5
814,0.04,0.07,0.1,0.04,0.1
815,0,0,0,0,0
816,0.33,0.02,0.35,0.33,0.35
817,0.03,0,0.03,0.03,0.03
818,0.58,0.05,0.63,0.58,0.63
819,0.23,0.22,0.45,0.23,0.45
820,0.07,0.06,0.13,0.07,0.13
821,0.37,0.06,0.43,0.32,0.38
822,0.11,0.17,0.28,0.11,0.28
823,0.07,0.03,0.09,0.07,0.09
824,0,0.11,0.11,0,0.11
825,0.08,0,0.08,0.08,0.08
826,0,0,0,0,0
827,0.14,0.13,0.28,0.14,0.28
828,0.03,0.08,0.12,0.03,0.12
829,0.01,0.04,0.05,0.01,0.05
830,0.01,0.03,0.04,0.01,0.04
831,0.09,0.1,0.18,0.09,0.18
832,0.04,0.1,0.14,0.04,0.14
833,0,0.05,0.05,0,0.05
834,0.05,0.02,0.07,0.05,0.07
835,0.06,0.01,0.07,0.06,0.07
836,0.12,0.1,0.22,0.07,0.17
837,0.27,0.06,0.33,0.27,0.33
838,0.08,0.1,0.18,0.08,0.18
839,0,0,0,0,0
840,0,0,0,0,0
841,0.02,0.01,0.03,0.02,0.03
842,0.02,0.03,0.05,0.02,0.05
843,0.31,0.3,0.62,0.16,0.46
844,0.07,0,0.07,0.07,0.07
845,0,0.06,0.06,0,0.06
846,0.02,0,0.03,0.02,0.03
847,0,0,0,0,0
848,0,0,0.01,0,0.01
849,0.22,0.18,0.4,0.2,0.37
850,0.02,0.02,0.05,0.02,0.05
851,0.09,0.33,0.41,0.09,0.41
852,0.09,0.04,0.14,0.09,0.14
853,0.27,0,0.27,0.27,0.27
854,0.03,0.17,0.2,0.03,0.2
855,0.13,0.12,0.25,0.13,0.25
856,0.07,0.12,0.19,0.05,0.17
857,0.2,0.18,0.38,0.2,0.38
858,0,0,0,0,0
859,0,0,0,0,0
860,0.37,0.29,0.66,0.37,0.66
861,0.04,0.19,0.24,0.04,0.24
862,0.49,0.03,0.52,0.49,0.52
863,0.03,0,0.03,0.03,0.03
864,0.26,0.18,0.44,0.18,0.36
865,0.04,0.01,0.05,0.04,0.05
866,0.02,0.02,0.04,0.02,0.04
867,0.04,0.01,0.05,0.04,0.05
868,0.29,0.22,0.51,0.2,0.42
869,0.16,0.18,0.34,0.13,0.31
870,0.45,0.32,0.77,0.23,0.55
871,0.07,0.1,0.17,0.07,0.17
872,0,0,0,0,0
873,0.15,0.08,0.23,0.08,0.16
874,0,0,0,0,0
875,0,0,0,0,0
876,0,0,0,0,0
877,0.09,0.06,0.14,0.09,0.14
878,0.26,0.15,0.41,0.26,0.41
879,0.01,0.01,0.03,0.01,0.03
880,0.05,0.01,0.07,0.05,0.07
881,0.06,0.07,0.13,0.06,0.13
882,0.02,0.12,0.14,0.02,0.14
883,0,0.04,0.04,0,0.04
884,0.07,0.19,0.26,0.07,0.26
885,,,,,
886,0.43,0,0.43,0.43,0.43
887,0.01,0.05,0.06,0.01,0.06
888,0,0,0,0,0
889,0.16,0.19,0.35,0.07,0.26
890,0,0,0,0,0
891,0.51,0.24,0.75,0.26,0.5
892,0.4,0.2,0.6,0.4,0.6
893,0.26,0.21,0.47,0.26,0.47
894,0.03,0.09,0.12,0.03,0.12
895,0,0,0,0,0
896,0.12,0,0.12,0.12,0.12
897,0.12,0,0.12,0.12,0.12
898,0.13,0.12,0.24,0.13,0.24
899,0,0,0,0,0
900,0.31,0.23,0.54,0.31,0.54
901,0.03,0,0.03,0.03,0.03
902,0.12,0.09,0.22,0.12,0.22
903,0.04,0.01,0.05,0.04,0.05
904,0.06,0,0.06,0.06,0.06
905,0.06,0.07,0.14,0.06,0.14
906,0.01,0.05,0.05,0.01,0.05
907,0,0,0,0,0
908,0.09,0.04,0.13,0.09,0.13
909,0.04,0,0.04,0.04,0.04
910,0.08,0,0.08,0.08,0.08
911,0.03,0.01,0.04,0.03,0.04
912,0.19,0.22,0.42,0.19,0.42
913,0.23,0.09,0.32,0.23,0.32
914,0.34,0.31,0.65,0.21,0.52
915,0,0,0,0,0
916,0.25,0.16,0.41,0.19,0.35
917,0.02,0.01,0.03,0.02,0.03
918,0,0,0,0,0
919,0.03,0.31,0.34,0.03,0.34
920,0.05,0.03,0.08,0.05,0.08
921,0,0.03,0.03,0,0.03
922,0.01,0.06,0.07,0.01,0.07
923,0.01,0.02,0.02,0.01,0.02
924,0.03,0.16,0.19,0.03,0.19
925,0,0.12,0.12,0,0.12
926,0,0,0,0,0
927,0.09,0.2,0.29,0.09,0.29
928,0.07,0.1,0.17,0.07,0.17
929,0.05,0.19,0.24,0.05,0.24
930,0.07,0.09,0.17,0.07,0.17
931,0.02,0.02,0.04,0.02,0.04
932,0.04,0.02,0.06,0.04,0.06
933,0.02,0.13,0.15,0.02,0.15
934,0.13,0.22,0.35,0.13,0.35
935,0.01,0,0.01,0.01,0.01
936,0.18,0.15,0.33,0.15,0.31
937,0.62,0.02,0.64,0.46,0.49
938,0.15,0,0.15,0.15,0.15
939,0.06,0.06,0.13,0.06,0.13
940,0,0,0,0,0
941,0,0.02,0.02,0,0.02
942,0.1,0.01,0.11,0.1,0.11
943,0.37,0.18,0.56,0.3,0.48
944,0.2,0.21,0.41,0.2,0.41
945,0.09,0.09,0.18,0.09,0.18
946,0.11,0.05,0.16,0.11,0.16
947,0.29,0.03,0.32,0.29,0.32
948,0.45,0.04,0.49,0.29,0.33
949,0.01,0.09,0.1,0.01,0.1
950,0.06,0.06,0.12,0.06,0.12
951,0.16,0.07,0.24,0.16,0.24
952,0.29,0.1,0.38,0.29,0.38
953,0.04,0.03,0.07,0.04,0.07
954,0.48,0.07,0.56,0.48,0.56
955,0.07,0.17,0.24,0.07,0.24
956,0.1,0.1,0.2,0.1,0.2
957,0.02,0.02,0.04,0.02,0.04
958,0.04,0.01,0.05,0.04,0.05
959,0.03,0.02,0.05,0.03,0.05
960,0.06,0.02,0.08,0.06,0.08
961,0.02,0.04,0.07,0.02,0.07
962,0.33,0.07,0.4,0.21,0.28
963,0.11,0.17,0.28,0.09,0.26
964,0,0,0,0,0
965,0.04,0.02,0.05,0.04,0.05
966,0.04,0.08,0.12,0.04,0.12
967,0,0,0,0,0
968,0.36,0.09,0.45,0.36,0.45
969,0,0.01,0.01,0,0.01
970,0,0,0,0,0
971,0.28,0.06,0.34,0.28,0.34
972,0,0,0,0,0
973,0.26,0.08,0.34,0.26,0.34
974,0.04,0.04,0.08,0.04,0.08
975,0,0,0,0,0
976,0.04,0.23,0.26,0.04,0.26
977,0.03,0.09,0.12,0.03,0.12
978,0.18,0.16,0.34,0.18,0.34
979,0.19,0.01,0.19,0.19,0.19
980,0.19,0.11,0.3,0.19,0.3
981,0.31,0.04,0.35,0.31,0.35
982,0.33,0,0.33,0.33,0.33
983,0.45,0.13,0.58,0.28,0.41
984,0.04,0.12,0.16,0.04,0.16
985,0.03,0.12,0.14,0.03,0.14
986,0.01,0.03,0.04,0.01,0.04
987,0.21,0.13,0.34,0.21,0.34
988,0.02,0.07,0.09,0.02,0.09
989,0,0,0,0,0
990,0,0,0,0,0
991,0.01,0.04,0.06,0.01,0.06
992,0.31,0.01,0.32,0.31,0.32
993,0.18,0.13,0.3,0.18,0.3
994,0.06,0.06,0.12,0.06,0.12
995,0.04,0,0.04,0.04,0.04
996,0.58,0.09,0.66,0.58,0.66
997,0.74,0.14,0.88,0.74,0.88
998,0.09,0.03,0.12,0.09,0.12
999,0.44,0.25,0.69,0.44,0.69
1000,0.03,0.02,0.05,0.03,0.05
1001,0.03,0.02,0.04,0.03,0.04
1002,0.09,0.28,0.37,0.09,0.37
1003,0.16,0.06,0.22,0.16,0.22
1004,0.02,0.05,0.07,0.02,0.07
1005,0.05,0.01,0.06,0.02,0.03
1006,0,0,0,0,0
1007,0.23,0.41,0.64,0.23,0.64
1008,0,0,0,0,0
1009,0.03,0.05,0.08,0.03,0.08
1010,0.17,0.06,0.23,0.17,0.23
1011,0.04,0.14,0.18,0.04,0.18
1012,0,0,0,0,0
1013,0.23,0.03,0.26,0.23,0.26
1014,0.15,0.09,0.24,0.12,0.21
1015,0.3,0.19,0.5,0.3,0.5
1016,0.12,0.11,0.22,0.12,0.22
1017,0,0,0,0,0
1018,0.07,0.14,0.21,0.07,0.21
1019,0,0,0,0,0
1020,0,0,0,0,0
1021,0.01,0.03,0.04,0.01,0.04
1022,0.4,0.12,0.53,0.26,0.38
1023,0.03,0.01,0.04,0.03,0.04
1024,0.01,0,0.01,0.01,0.01
1025,0.04,0,0.04,0.04,0.04
1026,0.78,0.19,0.97,0.5,0.69
1027,0.02,0.02,0.04,0.02,0.04
1028,0,0.07,0.07,0,0.07
1029,0,0.03,0.03,0,0.03
1030,0.21,0.14,0.35,0.21,0.35
1031,0.02,0.09,0.11,0.02,0.11
1032,0.24,0.14,0.38,0.24,0.38
1033,0.46,0.17,0.63,0.36,0.54
1034,0.01,0.01,0.02,0.01,0.02
1035,0,0.02,0.02,0,0.02
1036,0.17,0,0.17,0.17,0.17
1037,0.05,0.03,0.08,0.05,0.08
1038,0.04,0.01,0.05,0.04,0.05
1039,0.43,0,0.43,0.43,0.43
1040,0.24,0.17,0.4,0.24,0.4
1041,0.54,0.05,0.58,0.32,0.37
1042,0.18,0.35,0.53,0.18,0.53
1043,0,0,0,0,0
1044,0.37,0.09,0.45,0.37,0.45
1045,0.11,0.14,0.25,0.11,0.25
1046,0.21,0.25,0.46,0.15,0.4
1047,0.04,0,0.05,0.04,0.05
1048,0.48,0.19,0.67,0.43,0.62
1049,0.31,0.24,0.55,0.19,0.43
1050,0,0,0,0,0
1051,0.1,0.08,0.18,0.1,0.18
1052,0.03,0.03,0.06,0.03,0.06
1053,0.2,0.2,0.4,0.09,0.29
1054,0.06,0.07,0.13,0.06,0.13
1055,0,0,0,0,0
1056,0.01,0.03,0.04,0.01,0.04
1057,0,0,0,0,0
1058,0.02,0.04,0.06,0.02,0.06
1059,0.25,0.08,0.33,0.18,0.25
1060,0.02,0,0.02,0.02,0.02
1061,0.14,0.14,0.28,0.14,0.28
1062,0.05,0.07,0.12,0.05,0.12
1063,0.16,0.28,0.44,0.16,0.44
1064,0.29,0,0.29,0.29,0.29
1065,0.02,0,0.02,0.02,0.02
1066,0.02,0.03,0.06,0.02,0.06
1067,0.3,0.13,0.44,0.3,0.44
1068,0.06,0.06,0.12,0.06,0.12
1069,0.48,0.01,0.49,0.48,0.49
1070,0.04,0.02,0.06,0.04,0.06
1071,0.05,0.1,0.15,0.05,0.15
1072,0.02,0,0.02,0.02,0.02
1073,0.12,0.09,0.21,0.08,0.17
1074,0.41,0.16,0.57,0.37,0.53
1075,0,0,0,0,0
1076,0.05,0,0.05,0.05,0.05
1077,0.05,0.03,0.08,0.05,0.08
1078,0.4,0.2,0.6,0.33,0.53
1079,0.03,0.17,0.2,0.03,0.2
1080,0.01,0.02,0.03,0.01,0.03
1081,0.08,0.08,0.16,0.08,0.16
1082,0,0,0,0,0
1083,0.05,0.02,0.07,0.05,0.07
1084,0.07,0,0.08,0.07,0.08
1085,0,0.06,0.06,0,0.06
1086,0.2,0.13,0.34,0.2,0.34
1087,0.89,0.2,1.09,0.77,0.97
1088,0.2,0.01,0.2,0.2,0.2
1089,0.02,0.03,0.05,0.02,0.05
1090,1.16,0,1.16,1.16,1.16
1091,0.37,0.17,0.55,0.37,0.55
1092,0.24,0.08,0.32,0.24,0.32
1093,0.21,0.12,0.33,0.21,0.33
1094,0.1,0.1,0.2,0.1,0.2
1095,0.16,0.23,0.38,0.16,0.38
1096,0.28,0.12,0.4,0.28,0.4
1097,0.1,0.14,0.24,0.06,0.2
1098,0.45,0.07,0.52,0.37,0.44
1099,0.23,0.16,0.39,0.22,0.37
1100,0,0,0,0,0
1101,0.25,0.24,0.49,0.25,0.49
1102,0.06,0.21,0.27,0.06,0.27
1103,0.12,0,0.12,0.12,0.12
1104,0.21,0.22,0.43,0.21,0.43
1105,0.06,0.07,0.13,0.06,0.13
1106,0.01,0.01,0.01,0.01,0.01
1107,0.16,0.08,0.24,0.16,0.24
1108,0.17,0,0.17,0.17,0.17
1109,0.37,0.09,0.46,0.37,0.46
1110,0.02,0.02,0.04,0.02,0.04
1111,0.27,0.14,0.4,0.27,0.4
1112,0.08,0.39,0.47,0.08,0.47
1113,0.24,0.12,0.35,0.24,0.35
1114,0.03,0.01,0.04,0.03,0.04
1115,0.31,0.17,0.48,0.31,0.48
1116,0,0,0,0,0
1117,0.02,0.02,0.04,0.02,0.04
1118,0,0,0,0,0
1119,0.09,0.07,0.16,0.09,0.16
1120,0.07,0.05,0.11,0.07,0.11
1121,0.04,0.09,0.14,0.04,0.14
1122,0.03,0.12,0.15,0.03,0.15
1123,0.12,0.01,0.13,0.12,0.13
1124,0.02,0.24,0.26,0.02,0.26
1125,0.04,0,0.04,0.04,0.04
1126,0.01,0.01,0.03,0.01,0.03
1127,0.04,0.02,0.06,0.04,0.06
1128,0,0.02,0.03,0,0.03
1129,0.05,0.07,0.11,0.05,0.11
1130,0.25,0.14,0.39,0.25,0.39
1131,0.11,0.16,0.27,0.11,0.27
1132,0.13,0.11,0.24,0.1,0.21
1133,0.06,0.13,0.19,0.06,0.19
1134,0.03,0.04,0.08,0.03,0.08
1135,0,0,0,0,0
1136,0.07,0.04,0.12,0.07,0.12
1137,0.26,0.17,0.44,0.26,0.44
1138,0.04,0.25,0.29,0.04,0.29
1139,0.03,0.06,0.09,0.03,0.09
1140,0.3,0.26,0.55,0.27,0.53
1141,0.01,0.04,0.05,0.01,0.05
1142,0.05,0.01,0.05,0.05,0.05
1143,0.07,0.03,0.1,0.07,0.1
1144,0,0,0,0,0
1145,0.01,0.01,0.02,0.01,0.02
1146,0.01,0.03,0.05,0.01,0.05
1147,0.05,0.05,0.1,0.05,0.1
