Unnamed: 0,Playing Time,Playing Time.1,Playing Time.2,Playing Time.3
1895,28,21,1737,19.3
1896,2,0,14,0.2
1897,33,22,2033,22.6
1898,25,24,2162,24
1899,1,0,23,0.3
1900,16,0,284,3.2
1901,17,8,593,6.6
1902,17,4,423,4.7
1903,18,16,1358,15.1
1904,2,1,81,0.9
1905,28,19,1892,21
1906,13,0,111,1.2
1907,21,8,712,7.9
1908,36,35,2597,28.9
1909,32,20,1771,19.7
1910,12,6,700,7.8
1911,2,2,180,2
1912,32,26,2220,24.7
1913,4,2,120,1.3
1914,1,1,90,1
1915,12,11,987,11
1916,25,23,2109,23.4
1917,20,19,1641,18.2
1918,5,1,141,1.6
1919,38,31,2943,32.7
1920,14,10,871,9.7
1921,31,28,2323,25.8
1922,25,21,1896,21.1
1923,34,33,2908,32.3
1924,2,2,180,2
1925,28,25,2102,23.4
1926,4,0,61,0.7
1927,33,16,1469,16.3
1928,38,38,3420,38
1929,34,30,2631,29.2
1930,27,20,1922,21.4
1931,5,0,45,0.5
1932,3,3,270,3
1933,13,9,829,9.2
1934,28,28,2492,27.7
1935,22,17,1489,16.5
1936,25,14,1128,12.5
1937,13,11,914,10.2
1938,14,14,1260,14
1939,18,18,1615,17.9
1940,10,3,388,4.3
1941,9,1,198,2.2
1942,5,1,177,2
1943,31,29,2641,29.3
1944,31,30,2614,29
1945,2,1,91,1
1946,32,26,2194,24.4
1947,7,7,630,7
1948,31,31,2673,29.7
1949,4,1,181,2
1950,31,19,1843,20.5
1951,11,4,374,4.2
1952,20,10,918,10.2
1953,4,2,140,1.6
1954,29,25,2363,26.3
1955,30,27,2138,23.8
1956,9,2,186,2.1
1957,34,21,1755,19.5
1958,34,34,3060,34
1959,24,7,762,8.5
1960,24,17,1604,17.8
1961,24,16,1573,17.5
1962,23,21,1809,20.1
1963,16,16,1440,16
1964,6,2,187,2.1
1965,18,18,1559,17.3
1966,23,19,1737,19.3
1967,38,27,2420,26.9
1968,34,34,3058,34
1969,3,0,38,0.4
1970,15,15,1199,13.3
1971,7,3,308,3.4
1972,15,3,413,4.6
1973,24,13,1358,15.1
1974,13,2,253,2.8
1975,33,30,2408,26.8
1976,13,5,558,6.2
1977,28,15,1371,15.2
1978,17,7,758,8.4
1979,13,12,1076,12
1980,38,37,3349,37.2
1981,1,0,32,0.4
1982,15,9,749,8.3
1983,1,0,45,0.5
1984,1,0,13,0.1
1985,12,11,914,10.2
1986,36,28,2502,27.8
1987,9,7,572,6.4
1988,11,8,743,8.3
1989,2,0,9,0.1
1990,3,2,206,2.3
1991,32,31,2776,30.8
1992,2,0,90,1
1993,1,0,7,0.1
1994,3,1,63,0.7
1995,29,15,1404,15.6
1996,4,4,332,3.7
1997,22,21,1801,20
1998,1,0,2,0
1999,30,27,2275,25.3
2000,16,11,1046,11.6
2001,2,0,23,0.3
2002,21,16,1302,14.5
2003,36,36,3112,34.6
2004,4,0,56,0.6
2005,18,7,653,7.3
2006,24,18,1534,17
2007,3,2,200,2.2
2008,25,10,1122,12.5
2009,7,3,362,4
2010,3,0,121,1.3
2011,5,0,82,0.9
2012,25,18,1595,17.7
2013,37,37,3329,37
2014,1,1,65,0.7
2015,31,31,2716,30.2
2016,24,22,1943,21.6
2017,34,34,3060,34
2018,1,0,2,0
2019,14,12,1104,12.3
2020,1,0,1,0
2021,33,17,1584,17.6
2022,33,28,2417,26.9
2023,6,3,363,4
2024,4,4,360,4
2025,15,9,887,9.9
2026,29,24,2093,23.3
2027,37,28,2415,26.8
2028,27,20,1591,17.7
2029,37,37,3253,36.1
2030,1,1,90,1
2031,23,22,1692,18.8
2032,1,1,90,1
2033,13,6,614,6.8
2034,16,0,230,2.6
2035,34,30,2598,28.9
2036,11,7,639,7.1
2037,12,5,542,6
2038,19,12,1207,13.4
2039,4,3,229,2.5
2040,7,2,207,2.3
2041,6,3,383,4.3
2042,19,12,1116,12.4
2043,3,3,270,3
2044,3,3,253,2.8
2045,29,16,1616,18
2046,27,16,1549,17.2
2047,28,16,1467,16.3
2048,26,3,543,6
2049,23,16,1430,15.9
2050,33,30,2577,28.6
2051,35,29,2549,28.3
2052,15,10,959,10.7
2053,15,2,272,3
2054,30,14,1427,15.9
2055,34,34,2925,32.5
2056,25,15,1331,14.8
2057,21,6,773,8.6
2058,22,16,1347,15
2059,3,3,270,3
2060,24,12,1159,12.9
2061,28,19,1759,19.5
2062,22,15,1297,14.4
2063,4,1,128,1.4
2064,14,9,741,8.2
2065,32,32,2879,32
2066,32,20,1795,19.9
2067,36,35,3140,34.9
2068,7,3,308,3.4
2069,2,2,180,2
2070,28,21,1645,18.3
2071,26,9,964,10.7
2072,32,12,1301,14.5
2073,1,0,4,0
2074,20,11,958,10.6
2075,18,3,532,5.9
2076,32,32,2743,30.5
2077,24,21,1828,20.3
2078,24,13,1111,12.3
2079,4,1,93,1
2080,3,3,214,2.4
2081,17,8,581,6.5
2082,29,28,2428,27
2083,33,20,1828,20.3
2084,17,15,1456,16.2
2085,1,0,1,0
2086,32,18,1630,18.1
2087,9,3,361,4
2088,1,0,59,0.7
2089,3,0,67,0.7
2090,20,8,703,7.8
2091,31,31,2742,30.5
2092,6,4,318,3.5
2093,30,30,2682,29.8
2094,29,28,2305,25.6
2095,20,13,1266,14.1
2096,33,31,2575,28.6
2097,8,1,169,1.9
2098,24,6,797,8.9
2099,1,0,23,0.3
2100,18,18,1481,16.5
2101,5,2,228,2.5
2102,11,5,455,5.1
2103,35,15,1418,15.8
2104,19,6,627,7
2105,36,30,2517,28
2106,16,12,1071,11.9
2107,29,19,1803,20
2108,1,0,45,0.5
2109,20,17,1229,13.7
2110,24,22,1661,18.5
2111,26,21,1897,21.1
2112,19,10,851,9.5
2113,1,0,6,0.1
2114,18,4,383,4.3
2115,37,22,1908,21.2
2116,12,5,523,5.8
2117,10,7,575,6.4
2118,22,12,1186,13.2
2119,32,32,2880,32
2120,3,0,66,0.7
2121,2,1,70,0.8
2122,16,3,418,4.6
2123,37,24,2184,24.3
2124,26,25,2119,23.5
2125,22,19,1623,18
2126,27,14,1354,15
2127,14,4,491,5.5
2128,1,0,5,0.1
2129,30,24,2190,24.3
2130,15,10,718,8
2131,14,3,353,3.9
2132,33,15,1611,17.9
2133,28,28,2517,28
2134,24,21,1816,20.2
2135,7,2,213,2.4
2136,29,29,2610,29
2137,35,22,2170,24.1
2138,14,2,292,3.2
2139,31,21,2002,22.2
2140,33,32,2885,32.1
2141,27,18,1738,19.3
2142,11,9,754,8.4
2143,33,25,2204,24.5
2144,28,18,1476,16.4
2145,8,5,341,3.8
2146,19,12,1191,13.2
2147,12,0,167,1.9
2148,5,1,150,1.7
2149,4,0,35,0.4
2150,34,25,2313,25.7
2151,31,25,2187,24.3
2152,21,21,1890,21
2153,21,13,1121,12.5
2154,12,4,396,4.4
2155,12,5,611,6.8
2156,1,1,90,1
2157,33,24,2232,24.8
2158,2,1,135,1.5
2159,31,30,2458,27.3
2160,3,2,207,2.3
2161,23,15,1361,15.1
2162,1,0,1,0
2163,37,37,3285,36.5
2164,37,25,2233,24.8
2165,5,3,304,3.4
2166,25,13,1246,13.8
2167,25,10,969,10.8
2168,20,16,1285,14.3
2169,15,15,1275,14.2
2170,38,38,3420,38
2171,22,13,1089,12.1
2172,22,6,626,7
2173,1,1,90,1
2174,3,3,270,3
2175,8,8,703,7.8
2176,37,33,2920,32.4
2177,24,14,1462,16.2
2178,27,13,1232,13.7
2179,4,4,360,4
2180,7,7,630,7
2181,27,20,1776,19.7
2182,30,28,2313,25.7
2183,17,8,734,8.2
2184,7,0,102,1.1
2185,29,17,1738,19.3
2186,31,26,2247,25
2187,3,1,88,1
2188,27,26,2244,24.9
2189,33,28,2372,26.4
2190,29,29,2610,29
2191,14,12,1058,11.8
2192,1,0,24,0.3
2193,14,1,257,2.9
2194,3,2,181,2
2195,2,1,60,0.7
2196,11,6,653,7.3
2197,38,38,3420,38
2198,4,4,272,3
2199,32,27,2279,25.3
2200,30,20,1833,20.4
2201,1,0,15,0.2
2202,32,23,1976,22
2203,38,38,3420,38
2204,5,3,283,3.1
2205,29,28,2149,23.9
2206,1,0,30,0.3
2207,1,0,4,0
2208,3,0,67,0.7
2209,29,26,2229,24.8
2210,32,32,2879,32
2211,11,11,944,10.5
2212,3,1,89,1
2213,2,0,4,0
2214,34,33,2861,31.8
2215,29,16,1416,15.7
2216,32,27,2183,24.3
2217,10,8,810,9
2218,33,19,1820,20.2
2219,23,12,1139,12.7
2220,36,33,2846,31.6
2221,35,25,2090,23.2
2222,38,35,3054,33.9
2223,19,5,652,7.2
2224,34,26,2236,24.8
2225,18,15,1350,15
2226,17,1,239,2.7
2227,21,7,640,7.1
2228,19,16,1425,15.8
2229,13,13,1170,13
2230,15,9,946,10.5
2231,27,14,1340,14.9
2232,38,38,3383,37.6
2233,28,24,2162,24
2234,28,20,1560,17.3
2235,11,9,877,9.7
2236,18,18,1620,18
2237,19,2,561,6.2
2238,6,2,177,2
2239,2,0,22,0.2
2240,25,17,1404,15.6
2241,2,2,180,2
2242,27,19,1625,18.1
2243,12,8,733,8.1
2244,34,31,2748,30.5
2245,26,14,1288,14.3
2246,15,5,537,6
2247,22,11,1095,12.2
2248,20,4,511,5.7
2249,33,12,1374,15.3
2250,35,34,2864,31.8
2251,23,21,1764,19.6
2252,31,12,1265,14.1
2253,4,0,30,0.3
2254,16,15,1238,13.8
2255,16,2,426,4.7
2256,22,10,983,10.9
2257,14,14,1165,12.9
2258,28,21,1877,20.9
2259,7,0,104,1.2
2260,22,21,1907,21.2
2261,31,29,2545,28.3
2262,21,20,1763,19.6
2263,33,31,2802,31.1
2264,17,14,1232,13.7
2265,26,21,1887,21
2266,35,33,3021,33.6
2267,20,14,1229,13.7
2268,19,6,651,7.2
2269,20,12,1187,13.2
2270,16,12,1094,12.2
2271,3,3,187,2.1
2272,10,5,375,4.2
2273,2,1,91,1
2274,19,19,1710,19
2275,25,21,1678,18.6
2276,2,2,180,2
2277,7,1,205,2.3
2278,16,12,1001,11.1
2279,1,1,90,1
2280,6,3,208,2.3
2281,27,17,1669,18.5
2282,28,21,1593,17.7
2283,33,29,2569,28.5
2284,1,1,67,0.7
2285,7,1,186,2.1
2286,27,24,2157,24
2287,2,2,180,2
2288,4,0,44,0.5
2289,9,2,241,2.7
2290,3,3,270,3
2291,11,11,990,11
2292,24,10,1069,11.9
2293,11,10,945,10.5
2294,21,3,469,5.2
2295,6,0,56,0.6
2296,7,0,125,1.4
2297,33,33,2909,32.3
2298,1,0,13,0.1
2299,27,24,2026,22.5
2300,32,27,2016,22.4
2301,16,7,622,6.9
2302,25,19,1560,17.3
2303,21,2,453,5
2304,27,27,2407,26.7
2305,32,30,2553,28.4
2306,29,26,2385,26.5
2307,1,0,8,0.1
2308,4,3,276,3.1
2309,6,4,375,4.2
2310,37,34,3078,34.2
2311,21,7,755,8.4
2312,20,20,1800,20
2313,15,15,1350,15
2314,12,8,844,9.4
2315,28,22,1661,18.5
2316,28,25,1933,21.5
2317,7,2,200,2.2
2318,31,31,2563,28.5
2319,29,24,2161,24
2320,36,26,2448,27.2
2321,30,10,1130,12.6
2322,24,17,1460,16.2
2323,14,12,978,10.9
2324,16,10,932,10.4
2325,24,11,1035,11.5
2326,23,14,1270,14.1
2327,9,5,495,5.5
2328,30,12,1146,12.7
2329,18,17,1486,16.5
2330,34,29,2638,29.3
2331,16,11,921,10.2
2332,16,10,976,10.8
2333,1,1,49,0.5
2334,27,27,2430,27
2335,26,24,2062,22.9
2336,26,20,1858,20.6
2337,32,18,1805,20.1
2338,14,11,1071,11.9
2339,32,24,2084,23.2
2340,1,0,17,0.2
2341,1,0,10,0.1
2342,9,3,294,3.3
2343,12,10,826,9.2
2344,26,11,1169,13
2345,3,3,270,3
2346,30,28,2209,24.5
2347,4,0,37,0.4
2348,10,7,586,6.5
2349,30,24,2216,24.6
2350,2,0,52,0.6
2351,9,5,389,4.3
2352,9,3,388,4.3
2353,27,13,1320,14.7
2354,32,30,2506,27.8
2355,2,0,76,0.8
2356,8,5,452,5
2357,9,6,463,5.1
2358,24,9,785,8.7
2359,27,26,2165,24.1
2360,33,33,2953,32.8
2361,19,17,1487,16.5
2362,26,13,1352,15
2363,1,0,1,0
2364,18,13,1246,13.8
2365,10,3,342,3.8
2366,1,0,15,0.2
2367,29,26,2247,25
2368,29,20,1866,20.7
2369,32,5,744,8.3
2370,32,30,2626,29.2
2371,24,18,1654,18.4
2372,16,15,1285,14.3
2373,27,15,1428,15.9
2374,38,38,3420,38
2375,31,27,2393,26.6
2376,22,13,1177,13.1
2377,12,4,416,4.6
2378,28,24,2197,24.4
2379,19,10,942,10.5
2380,34,28,2512,27.9
2381,13,6,610,6.8
2382,26,26,2340,26
2383,2,0,34,0.4
2384,3,3,153,1.7
2385,1,1,90,1
2386,9,1,191,2.1
2387,23,7,813,9
2388,4,0,66,0.7
2389,6,6,540,6
2390,34,34,2983,33.1
2391,16,8,885,9.8
2392,18,4,603,6.7
2393,29,23,2064,22.9
2394,36,36,3240,36
2395,25,24,1953,21.7
2396,12,9,707,7.9
2397,1,0,1,0
2398,23,17,1574,17.5
2399,13,2,343,3.8
2400,1,0,8,0.1
2401,10,6,572,6.4
2402,13,3,461,5.1
2403,14,5,556,6.2
2404,16,7,735,8.2
2405,32,30,2654,29.5
2406,30,29,2617,29.1
2407,31,16,1677,18.6
2408,2,0,11,0.1
2409,7,0,21,0.2
2410,1,0,11,0.1
2411,30,21,1980,22
2412,11,7,697,7.7
2413,24,6,652,7.2
2414,1,0,34,0.4
2415,36,24,2253,25
2416,4,0,49,0.5
2417,2,0,34,0.4
2418,24,18,1599,17.8
2419,32,32,2760,30.7
2420,26,24,2065,22.9
2421,31,26,2368,26.3
2422,21,17,1399,15.5
2423,32,11,1369,15.2
2424,1,0,3,0
2425,4,4,355,3.9
2426,12,6,600,6.7
2427,32,32,2880,32
2428,23,23,1935,21.5
2429,34,34,3060,34
2430,19,19,1615,17.9
2431,33,19,1740,19.3
2432,33,28,2324,25.8
2433,37,37,3330,37
2434,1,0,2,0
2435,5,0,58,0.6
2436,28,20,1854,20.6
2437,22,19,1570,17.4
2438,36,34,3071,34.1
2439,4,3,344,3.8
2440,32,32,2880,32
2441,6,0,78,0.9
2442,36,29,2581,28.7
2443,25,15,1585,17.6
2444,9,6,474,5.3
2445,1,1,71,0.8
2446,5,2,169,1.9
2447,32,32,2785,30.9
2448,28,28,2520,28
2449,26,12,1179,13.1
2450,23,12,1164,12.9
2451,32,31,2777,30.9
2452,13,3,419,4.7
2453,19,1,234,2.6
2454,1,0,20,0.2
2455,18,4,579,6.4
2456,3,2,172,1.9
2457,16,13,1111,12.3
2458,20,18,1440,16
2459,8,6,526,5.8
2460,3,0,5,0.1
2461,10,8,746,8.3
2462,19,12,1134,12.6
2463,5,0,49,0.5
2464,16,11,1113,12.4
2465,18,8,899,10
2466,16,3,486,5.4
2467,29,16,1438,16
2468,32,31,2735,30.4
2469,31,31,2712,30.1
2470,28,10,1106,12.3
2471,10,5,559,6.2
2472,28,28,2520,28
2473,37,37,3250,36.1
2474,15,3,393,4.4
2475,26,25,2042,22.7
2476,1,0,1,0
2477,33,28,2413,26.8
2478,21,12,1184,13.2
2479,1,0,10,0.1
2480,38,38,3419,38
2481,1,0,5,0.1
2482,14,5,458,5.1
2483,20,19,1755,19.5
2484,3,1,145,1.6
2485,32,21,1919,21.3
2486,3,0,4,0
2487,23,14,1224,13.6
2488,1,0,6,0.1
2489,28,25,2175,24.2
2490,15,10,1000,11.1
2491,23,19,1819,20.2
2492,27,25,2124,23.6
2493,15,13,1261,14
2494,1,0,22,0.2
2495,32,32,2880,32
2496,24,22,1956,21.7
2497,1,1,90,1
2498,33,31,2793,31
2499,21,19,1566,17.4
2500,1,1,90,1
2501,23,14,1276,14.2
2502,7,3,261,2.9
2503,18,17,1537,17.1
2504,31,28,2536,28.2
2505,30,30,2700,30
2506,30,23,1961,21.8
2507,19,4,538,6
2508,22,22,1933,21.5
2509,9,9,810,9
2510,29,21,1846,20.5
2511,18,18,1314,14.6
2512,11,1,233,2.6
2513,27,22,2075,23.1
2514,33,30,2638,29.3
2515,10,4,423,4.7
2516,6,6,445,4.9
2517,31,28,2434,27
2518,35,34,2852,31.7
2519,32,30,2508,27.9
2520,5,3,305,3.4
2521,20,16,1505,16.7
2522,34,28,2210,24.6
2523,7,3,233,2.6
2524,34,24,1852,20.6
2525,2,0,8,0.1
2526,20,13,1116,12.4
2527,4,1,97,1.1
2528,18,8,733,8.1
2529,30,30,2677,29.7
2530,3,1,99,1.1
2531,29,13,1443,16
2532,12,8,850,9.4
2533,27,24,2219,24.7
2534,2,0,38,0.4
2535,23,16,1368,15.2
2536,33,28,2304,25.6
2537,6,6,487,5.4
2538,32,32,2701,30
2539,31,29,2652,29.5
2540,38,38,3404,37.8
2541,36,36,3240,36
2542,1,1,90,1
2543,3,1,103,1.1
2544,5,0,69,0.8
2545,4,0,43,0.5
2546,2,1,85,0.9
2547,3,0,65,0.7
2548,29,28,2426,27
2549,1,0,16,0.2
2550,1,0,13,0.1
2551,15,4,495,5.5
2552,36,36,3063,34
2553,2,1,110,1.2
2554,18,7,745,8.3
2555,9,8,690,7.7
2556,17,2,413,4.6
2557,29,12,1283,14.3
2558,10,2,270,3
2559,6,4,351,3.9
2560,31,31,2790,31
2561,4,2,272,3
2562,34,30,2436,27.1
2563,25,22,1869,20.8
2564,22,18,1481,16.5
2565,1,0,20,0.2
2566,24,5,754,8.4
2567,36,33,2732,30.4
2568,19,15,1452,16.1
2569,24,9,1029,11.4
2570,27,12,1256,14
2571,1,0,1,0
2572,14,12,969,10.8
2573,34,34,3024,33.6
2574,37,31,2624,29.2
2575,8,3,313,3.5
2576,33,29,2648,29.4
2577,29,20,1731,19.2
2578,29,17,1494,16.6
2579,1,0,12,0.1
2580,38,37,3357,37.3
2581,27,26,2299,25.5
2582,6,0,56,0.6
2583,7,1,125,1.4
2584,30,15,1395,15.5
2585,15,15,1330,14.8
2586,35,34,2811,31.2
2587,16,7,781,8.7
2588,26,18,1490,16.6
2589,31,29,2537,28.2
2590,31,31,2715,30.2
2591,8,6,553,6.1
2592,1,0,45,0.5
2593,17,16,1466,16.3
2594,25,17,1330,14.8
2595,23,21,1782,19.8
2596,12,9,726,8.1
2597,26,24,1940,21.6
2598,3,0,21,0.2
2599,6,1,170,1.9
2600,19,3,518,5.8
2601,24,15,1306,14.5
2602,33,15,1400,15.6
2603,33,33,2970,33
2604,35,19,1894,21
2605,25,17,1548,17.2
2606,14,11,969,10.8
2607,5,0,48,0.5
2608,29,20,1681,18.7
2609,17,8,704,7.8
2610,26,25,2090,23.2
2611,34,25,2258,25.1
2612,25,25,2234,24.8
2613,6,0,74,0.8
2614,37,28,2649,29.4
2615,19,0,304,3.4
2616,36,29,2317,25.7
2617,2,0,54,0.6
2618,3,0,18,0.2
2619,22,19,1700,18.9
2620,2,0,39,0.4
2621,35,34,3000,33.3
2622,7,1,98,1.1
2623,34,34,2993,33.3
2624,33,33,2970,33
2625,26,22,2035,22.6
2626,21,12,1166,13
2627,35,30,2527,28.1
2628,31,30,2572,28.6
2629,28,3,706,7.8
2630,10,3,300,3.3
2631,28,28,2475,27.5
2632,35,30,2607,29
2633,5,1,109,1.2
2634,29,23,1951,21.7
2635,1,0,43,0.5
2636,2,0,7,0.1
2637,9,4,404,4.5
2638,27,19,1765,19.6
2639,2,1,50,0.6
2640,19,16,1459,16.2
2641,6,0,170,1.9
2642,25,19,1724,19.2
2643,9,8,711,7.9
2644,3,1,65,0.7
2645,36,32,2503,27.8
2646,1,1,90,1
2647,13,6,645,7.2
2648,28,15,1318,14.6
2649,9,1,281,3.1
2650,29,27,2330,25.9
2651,1,0,2,0
2652,20,18,1494,16.6
2653,5,5,450,5
2654,3,1,115,1.3
2655,11,6,499,5.5
2656,1,1,70,0.8
2657,20,4,491,5.5
2658,3,1,103,1.1
2659,21,15,1348,15
2660,30,9,950,10.6
2661,24,15,1330,14.8
2662,31,31,2715,30.2
2663,34,31,2840,31.6
2664,30,18,1612,17.9
2665,1,0,32,0.4
2666,11,9,611,6.8
2667,15,1,164,1.8
2668,8,5,562,6.2
2669,24,21,1848,20.5
2670,8,3,283,3.1
2671,1,1,90,1
2672,6,1,118,1.3
2673,23,19,1723,19.1
2674,21,15,1316,14.6
2675,28,25,2281,25.3
2676,28,19,1701,18.9
2677,28,21,1757,19.5
2678,21,12,980,10.9
2679,33,17,1620,18
2680,33,33,2944,32.7
2681,29,25,2053,22.8
2682,1,0,12,0.1
2683,21,16,1492,16.6
2684,27,12,998,11.1
2685,30,20,1722,19.1
2686,30,29,2574,28.6
2687,32,25,2316,25.7
2688,4,4,360,4
2689,3,0,52,0.6
2690,20,9,767,8.5
2691,12,5,595,6.6
2692,23,14,1138,12.6
2693,2,1,86,1
2694,34,25,2348,26.1
2695,4,2,226,2.5
2696,21,19,1590,17.7
2697,31,11,1203,13.4
2698,21,10,969,10.8
2699,35,16,1589,17.7
2700,33,21,1859,20.7
2701,21,19,1781,19.8
2702,2,1,173,1.9
2703,9,3,308,3.4
2704,17,12,1036,11.5
2705,1,0,48,0.5
2706,19,5,520,5.8
2707,10,3,298,3.3
2708,37,34,2923,32.5
2709,7,5,371,4.1
2710,18,11,1000,11.1
2711,24,20,1841,20.5
2712,24,17,1359,15.1
2713,1,1,66,0.7
2714,35,34,2769,30.8
2715,32,30,2734,30.4
2716,1,0,1,0
2717,9,6,519,5.8
2718,13,11,810,9
2719,25,13,1305,14.5
2720,28,15,1371,15.2
2721,4,0,33,0.4
2722,30,23,2055,22.8
2723,21,20,1618,18
2724,1,0,13,0.1
2725,24,22,1946,21.6
2726,30,30,2645,29.4
2727,19,18,1618,18
2728,25,24,1919,21.3
2729,34,34,3060,34
2730,26,25,2256,25.1
2731,38,38,3420,38
2732,35,35,2979,33.1
2733,37,37,3328,37
2734,3,0,39,0.4
2735,28,7,878,9.8
2736,29,29,2594,28.8
2737,34,33,2941,32.7
2738,5,2,226,2.5
2739,32,24,2133,23.7
2740,24,17,1545,17.2
2741,22,15,1457,16.2
2742,22,15,1254,13.9
2743,35,29,2602,28.9
2744,38,38,3410,37.9
2745,36,36,3191,35.5
2746,38,34,2941,32.7
2747,2,0,2,0
2748,8,7,474,5.3
2749,4,2,188,2.1
2750,38,27,2387,26.5
2751,6,3,249,2.8
2752,2,0,57,0.6
2753,9,7,661,7.3
2754,25,16,1406,15.6
2755,7,2,238,2.6
2756,14,11,978,10.9
2757,26,23,2084,23.2
2758,1,0,1,0
2759,15,9,861,9.6
2760,29,25,2224,24.7
2761,38,30,2674,29.7
2762,15,13,1130,12.6
2763,32,14,1378,15.3
2764,31,29,2551,28.3
2765,6,1,147,1.6
2766,26,7,823,9.1
2767,33,32,2741,30.5
2768,2,0,34,0.4
2769,33,11,1200,13.3
2770,31,29,2522,28
2771,13,8,647,7.2
2772,19,15,1379,15.3
2773,10,10,900,10
2774,15,1,375,4.2
2775,32,10,1086,12.1
2776,6,5,436,4.8
2777,28,23,2051,22.8
2778,4,3,300,3.3
2779,16,15,1317,14.6
2780,12,3,462,5.1
2781,32,25,2274,25.3
2782,26,16,1391,15.5
2783,26,16,1425,15.8
2784,3,1,77,0.9
2785,29,14,1229,13.7
2786,36,33,2609,29
2787,9,3,276,3.1
2788,2,0,65,0.7
2789,3,1,122,1.4
2790,30,29,2612,29
2791,31,22,1863,20.7
2792,25,15,1419,15.8
2793,12,6,639,7.1
2794,1,0,11,0.1
2795,36,29,2587,28.7
2796,27,18,1637,18.2
2797,12,12,968,10.8
2798,37,29,2379,26.4
2799,34,27,2395,26.6
2800,25,23,2045,22.7
2801,5,1,100,1.1
2802,29,15,1491,16.6
2803,22,10,905,10.1
2804,24,23,1740,19.3
2805,28,14,1289,14.3
2806,31,31,2790,31
2807,9,0,171,1.9
2808,27,15,1187,13.2
2809,1,0,51,0.6
2810,36,32,2523,28
2811,20,15,1478,16.4
2812,4,0,113,1.3
2813,3,1,92,1
2814,23,15,1172,13
2815,7,7,603,6.7
2816,23,2,436,4.8
2817,24,22,2029,22.5
2818,24,21,1959,21.8
2819,20,6,585,6.5
2820,31,17,1882,20.9
2821,14,9,866,9.6
2822,7,3,234,2.6
2823,32,27,2078,23.1
